2222,1,86530,4.9814,13.375,12.943,11.108
2222,2,96201,6.8225,14.699,13.917,12.011
2222,3,73937,7.5303,17.104,15.629,13.457
2222,4,69498,6.7365,16.993,16.403,13.789
2222,5,75406,7.0001,17.376,16.324,13.963
2222,6,83779,6.8886,14.881,13.979,11.885
2222,7,72721,5.9613,16.507,15.583,13.039
2222,8,1.46e+05,4.4339,11.356,11.036,9.9553
2222,9,18975,4.3711,12.01,11.842,10.762
2222,10,78302,3.1931,8.2559,8.084,7.3549
2222,11,0,0,0,0,0
2222,12,89475,2.1153,7.6531,7.181,6.7438
2222,13,52461,3.6791,11.524,10.977,9.6014
2222,14,41805,1.6046,5.3683,5.2777,5.107
2222,15,51593,3.1099,9.8383,9.7278,8.8578
2222,16,81682,4.5964,11.966,11.091,9.8479
2222,17,86644,2.1313,8.2046,7.934,7.1257
2222,18,87012,2.9042,9.7807,9.5507,8.4115
2222,19,92197,1.9967,7.4733,7.4255,6.7117
2222,20,50467,1.5224,5.6071,5.9013,5.5601
2222,21,70558,2.5022,8.2726,8.176,7.5229
2222,22,52861,1.7349,6.7876,6.5015,6.0498
2222,23,76337,2.0302,7.1966,7.2204,6.6495
2222,24,55960,1.2885,5.4105,5.4544,5.1126
2222,25,55294,1.6261,6.5381,6.3049,5.9681
2222,26,16307,1.5706,6.6709,6.9972,6.5003
2222,27,77200,1.2138,4.6616,4.5905,4.5531
2222,28,24263,1.8887,7.2658,7.1569,6.4955
2222,29,78104,1.2638,4.7412,4.8096,4.6886
2222,30,31583,1.402,5.9869,6.0707,5.3035
2250,1,86619,4.9814,12.942,12.211,10.358
2250,2,96164,6.8225,13.61,13.399,11.36
2250,3,74048,7.5303,16.242,15.191,12.597
2250,4,69615,6.7365,16.073,15.422,12.977
2250,5,75528,7.0001,16.19,15.305,12.88
2250,6,83875,6.8886,14.39,13.386,11.363
2250,7,73038,5.9613,16,14.963,12.447
2250,8,1.4635e+05,4.4339,11.21,10.482,9.1876
2250,9,18963,4.3711,11.954,11.036,9.8191
2250,10,78394,3.1931,7.3477,7.2298,6.6281
2250,11,0,0,0,0,0
2250,12,89622,2.1153,7.4902,6.9878,6.3857
2250,13,52670,3.6791,10.9,10.56,9.1456
2250,14,41776,1.6046,5.6473,5.4812,4.9023
2250,15,51702,3.1099,9.6675,9.2641,8.3517
2250,16,81615,4.5964,11.361,10.503,9.1429
2250,17,86873,2.1313,7.5486,7.3998,6.704
2250,18,87169,2.9042,9.0366,8.931,7.9122
2250,19,92500,1.9967,6.68,6.6164,6.1622
2250,20,50589,1.5224,5.2555,5.3478,5.0288
2250,21,70639,2.5022,8.6981,8.2604,7.2425
2250,22,53032,1.7349,6.4382,6.4169,5.6966
2250,23,76589,2.0302,6.7183,6.7707,6.3756
2250,24,56050,1.2885,4.8161,5.171,4.7565
